symbol,name
000001,平安银行
000008,神州高铁
000021,深科技
000028,国药一致
000034,神州数码
000035,中国天楹
000039,中集集团
000061,农产品
000062,深圳华强
000063,中兴通讯
000066,中国长城
000069,华侨城A
000100,TCL科技
000157,中联重科
000158,常山北明
000166,申万宏源
000333,美的集团
000338,潍柴动力
000400,许继电气
000410,沈阳机床
000411,英特集团
000415,渤海租赁
000423,东阿阿胶
000425,徐工机械
000519,中兵红箭
000524,岭南控股
000526,学大教育
000528,柳工
000534,万泽股份
000538,云南白药
000547,航天发展
000551,创元科技
000558,天府文旅
000563,陕国投A
000564,供销大集
000568,泸州老窖
000581,威孚高科
000593,德龙汇能
000596,古井贡酒
000598,兴蓉环境
000617,中油资本
000623,吉林敖东
000625,长安汽车
000636,风华高科
000651,格力电器
000657,中钨高新
000661,长春高新
000680,山推股份
000685,中山公用
000688,国城矿业
000725,京东方A
000729,燕京啤酒
000733,振华科技
000766,通化金马
000768,中航西飞
000776,广发证券
000785,居然智家
000795,英洛华
000796,凯撒旅业
000799,酒鬼酒
000800,一汽解放
000801,四川九洲
000802,北京文化
000810,创维数字
000815,美利云
000831,中国稀土
000833,粤桂股份
000839,国安股份
000848,承德露露
000858,五粮液
000859,国风新材
000860,顺鑫农业
000869,张裕A
000887,中鼎股份
000888,峨眉山A
000890,法尔胜
000892,欢瑞世纪
000913,钱江摩托
000921,海信家电
000922,佳电股份
000925,众合科技
000927,中国铁物
000935,四川双马
000938,紫光股份
000950,重药控股
000951,中国重汽
000960,锡业股份
000962,东方钽业
000963,华东医药
000967,盈峰环境
000969,安泰科技
000970,中科三环
000973,佛塑科技
000977,浪潮信息
000980,众泰汽车
000987,越秀资本
000988,华工科技
000997,新大陆
000999,华润三九
001207,联科科技
001259,利仁科技
001270,铖昌科技
001287,中电港
001289,龙源电力
001296,长江材料
001309,德明利
001323,慕思股份
001330,博纳影业
001331,胜通能源
001359,平安电工
001696,宗申动力
002007,华兰生物
002008,大族激光
002010,传化智联
002011,盾安环境
002014,永新股份
002025,航天电器
002027,分众传媒
002028,思源电气
002032,苏泊尔
002033,丽江股份
002035,华帝股份
002044,美年健康
002050,三花智控
002056,横店东磁
002057,中钢天源
002065,东华软件
002068,黑猫股份
002074,国轩高科
002096,易普力
002097,山河智能
002120,韵达股份
002127,南极电商
002129,TCL中环
002130,沃尔核材
002131,利欧股份
002142,宁波银行
002149,西部材料
002152,广电运通
002174,游族网络
002176,江特电机
002179,中航光电
002180,奔图科技
002181,粤传媒
002191,劲嘉股份
002192,融捷股份
002195,岩山科技
002196,方正电机
002202,金风科技
002204,大连重工
002217,合力泰
002222,福晶科技
002223,鱼跃医疗
002224,三力士
002226,江南化工
002230,科大讯飞
002236,大华股份
002240,盛新锂能
002241,歌尔股份
002242,九阳股份
002243,力合科创
002249,大洋电机
002251,步步高
002252,上海莱士
002261,拓维信息
002266,浙富控股
002267,陕天然气
002270,华明装备
002273,水晶光电
002281,光迅科技
002290,禾盛新材
002292,奥飞娱乐
002294,信立泰
002304,洋河股份
002315,焦点科技
002317,众生药业
002324,普利特
002326,永太科技
002335,科华数据
002340,格林美
002348,高乐股份
002352,顺丰控股
002361,神剑股份
002364,中恒电气
002366,融发核电
002371,北方华创
002378,章源钨业
002381,双箭股份
002384,东山精密
002400,省广集团
002402,和而泰
002403,爱仕达
002414,高德红外
002415,海康威视
002416,爱施德
002422,科伦药业
002423,中粮资本
002428,云南锗业
002429,兆驰股份
002430,杭氧股份
002432,九安医疗
002436,兴森科技
002442,龙星科技
002444,巨星科技
002456,欧菲光
002460,赣锋锂业
002461,珠江啤酒
002463,沪电股份
002465,海格通信
002466,天齐锂业
002468,申通快递
002475,立讯精密
002484,江海股份
002487,大金重工
002489,浙江永强
002497,雅化集团
002508,老板电器
002511,中顺洁柔
002517,恺英网络
002518,科士达
002531,天顺风能
002534,西子洁能
002543,万和电气
002544,普天科技
002555,三七互娱
002558,巨人网络
002565,顺灏股份
002568,百润股份
002594,比亚迪
002595,豪迈科技
002600,领益智造
002602,世纪华通
002603,以岭药业
002605,姚记科技
002607,中公教育
002624,完美世界
002625,光启技术
002627,三峡旅游
002639,雪人集团
002640,跨境通
002648,卫星化学
002653,海思科
002659,凯文教育
002668,TCL智家
002677,浙江美大
002678,珠江钢琴
002701,奥瑞金
002705,新宝股份
002707,众信旅游
002709,天赐材料
002736,国信证券
002738,中矿资源
002739,儒意电影
002747,埃斯顿
002752,昇兴股份
002753,永东股份
002756,永兴材料
002768,国恩股份
002782,可立克
002787,华源控股
002803,吉宏股份
002812,恩捷股份
002821,凯莱英
002823,凯中精密
002831,裕同科技
002838,道恩股份
002850,科达利
002851,麦格米特
002859,洁美科技
002885,京泉华
002892,科力尔
002911,佛燃能源
002916,深南电路
002919,名臣健康
002922,伊戈尔
002929,润建股份
002938,鹏鼎控股
002946,新乳业
002957,科瑞技术
002959,小熊电器
002967,广电计量
002969,嘉美包装
002984,森麒麟
003006,百亚股份
003010,若羽臣
003018,金富科技
003021,兆威机电
003022,联泓新科
003033,征和工业
003036,泰坦股份
003816,中国广核
300001,特锐德
300002,神州泰岳
300003,乐普医疗
300012,华测检测
300014,亿纬锂能
300015,爱尔眼科
300017,网宿科技
300024,机器人
300031,宝通科技
300033,同花顺
300054,鼎龙股份
300056,中创环保
300058,蓝色光标
300059,东方财富
300070,碧水源
300085,银之杰
300102,乾照光电
300105,龙源技术
300113,顺网科技
300115,长盈精密
300121,阳谷华泰
300122,智飞生物
300124,汇川技术
300131,英唐智控
300133,华策影视
